,blade#,resistor_type,dynamic_pressure(lb/sqft),velocity(m/s),radians/sec,tip_speed_ratio,coefficient_power
1,2,100,0.32,5.077249970230433,166.03228542614264,5.320489043718954,0.003296289
8,2,50,0.32,5.077249970230433,166.23836975230054,5.327092996658536,0.006197106
4,2,25,0.32,5.077249970230433,166.05958063318812,5.321363716073543,0.010903866926455964
2,2,10,0.32,5.077249970230433,164.69274729793014,5.277563669798418,0.019695871898713108
13,2,9,0.32,5.077249970230433,164.71667124571925,5.27833031,0.020628423037191708
12,2,8,0.32,5.077249970230433,164.2163361631275,5.2622971195818895,0.023250063
11,2,7,0.32,5.077249970230433,164.22762351092277,5.262658821585347,0.024388780451973506
10,2,6,0.32,5.077249970230433,163.73979515006405,5.247026407428653,0.025149862
9,2,5,0.32,5.077249970230433,163.39636025582084,5.236021068,0.026474696382359567
7,2,4,0.32,5.077249970230433,162.74855350193653,5.215262161607399,0.027562682
6,2,3,0.32,5.077249970230433,161.88501261744003,5.187590074802265,0.029868928
5,2,2,0.32,5.077249970230433,160.4914559,5.142933678826186,0.030623008453122182
3,2,1,0.32,5.077249970230433,158.01627093666164,5.063616609805804,0.031689807424059066
0,2,0,0.32,5.077249970230433,153.74027822326693,4.926592823593099,0.017832817644004132
