,blade#,resistor_type,dynamic_pressure(lb/sqft),velocity(m/s),radians/sec,tip_speed_ratio,coefficient_power
6,1,100,0.32,5.083761470358835,150.2942253972377,4.809995633096565,0.002742714
13,1,50,0.32,5.083761470358835,151.11756240583128,4.836345597,0.005320767
9,1,25,0.32,5.083761470358835,150.9085659,4.829656902479698,0.009633405
7,1,10,0.32,5.083761470358835,149.492775,4.784346125675121,0.018713321
18,1,9,0.32,5.083761470358835,149.49260026629779,4.7843405331151105,0.019800226041928548
17,1,8,0.32,5.078987267105991,149.36762036544783,4.784834171735523,0.020919877349971285
16,1,7,0.32,5.078987267105991,149.05276299990862,4.774748048128755,0.022021605736623373
15,1,6,0.32,5.072472909624496,148.8277579703898,4.773662994993687,0.023352408564801762
14,1,5,0.32,5.072472909624496,148.33663891629183,4.757910309562854,0.024958802
12,1,4,0.32,5.072472909624496,147.71000271973065,4.737810900261514,0.026439293
11,1,3,0.32,5.072472909624496,146.7364078719352,4.706582762712318,0.027583131586158136
10,1,2,0.32,5.072472909624496,145.45405023895262,4.665451032567365,0.027526271
8,1,1,0.32,5.072472909624496,143.50681797170634,4.602993391979507,0.023285038520297986
5,1,0.8,0.32,5.072472909624496,142.86585104330712,4.582434323235605,0.022279586
4,1,0.6,0.32,5.072472909624496,142.3471983891928,4.5657984952424595,0.021553483
3,1,0.4,0.32,5.072472909624496,141.48056039662004,4.538001007921424,0.017796324046726326
2,1,0.2,0.32,5.072472909624496,140.57713767686832,4.509023647347508,0.013219620353856496
1,1,0.1,0.32,5.072472909624496,140.1282035705394,4.4946240477042805,0.007639268
0,1,0,0.32,5.072472909624496,139.2418052359505,4.466192746,0.014374111264525823
