Element Number		Airfoil		intCLoverCD		AOA
1		NACA7610		78.418		1.702370e+04
2		NACA5710		98.608		2.196309e+04
3		NACA6710		136.212		2.860279e+04
4		NACA7710		140.225		3.601417e+04
5		NACA6710		181.185		4.380705e+04
6		NACA6710		209.212		5.180945e+04
7		NACA4510		245.771		5.993748e+04
8		NACA5510		299.402		6.814616e+04
9		NACA5510		342.809		7.640951e+04
10		NACA6510		377.385		8.471152e+04
11		NACA5510		435.951		9.304184e+04
